Index,Question,Answer
0,Co to za piękny kurhanek?,"To cudzy człowiek, zielonej rozłogi wianek."
0,"Czy uciekasz ode mnie, czy lękasz się nudy?","Nie uciekam, lecz lękam się monotonii."
0,Czy Maryla przespała ranek? Gdzie się kryje? Nie żyje?,"Maryla nie przespała ranek, nie żyje więcej. Kochanek nie ujrzy jej więcej."
0,"Czym jest czara złota, która tu stoi?","Czara złota jest symbolem życia, które przemija w mgnieniu oka."
0,Jak nazywasz się i czym się zajmujesz?,"Nazywam się Adam Mickiewicz, jestem polskim poetą."
0,"Co się dzieje, gdy książę ucztuje, a panna płacze?","W dworze ucztuje książę, a panna w komorze płacze."
0,"Co widzisz, gdy patrzysz na tę smutną ruinę, na tę pustkę, którą śmierć całkowicie opustoszyła?","Widzę ruiny, które żałobne wieże płaczą."
0,Co czynił ksiądz nad grobem długo stając?,"Ksiądz nad grobem długo stał,
I mszę za dwie dusze miał.
"
0,Kto pierwiastek słodyczy z lubych wyciągnął ust?,"Ten, co mędrców się liczy, zna chemię i ma gust."
0,"Co się stało po tym, jak król skinął?","Król znowu skinął, aż dwa lamparty wyskoczyły. Jednak lew zagrzmiał i dzicz obiegała, dysząc, za mordem dysze."
0,"Czy ksiądz w konfesjonale zasiada, by córce spowiedź udzielić?","Tak, w konfesjonale siedzi, czas na spowiedź córko, mówi."
0,"Co zrobiła matka, gdy książę obiecał?","Matka troszczy się i biedzi, Książę dał na zapowiedzi."
0,"Jakie tajemnice skrywa szczyt wolności, gdzie bracia wołają o przyjaźń i miłość?","Wymowa wznieść nie zdoła,
Dziś na wolności szczyt,
Gdzie przyjaźń, miłość woła,
Tam bracia cyt, tam cyt!"
0,"Jaką drogę przebył koń, który pozbył się trwogi?","Koń, niepewny, trwogę gubił, prosto pięć mil drogi biegł."
0,Czy ognisty płomień miłości twego serca kamienie ogrzać może?,"Tak, ognisty płomień miłości mego serca kamienie ogrzać może."
0,"Jakie są skutki mętności źrenic, znikania lica i zdrowia?","Wdzięk i zdrowie niosą biadło, jak księżyc w nowiu giną."
0,Jakie jest znaczenie dobrego powszechnego dla Adama Mickiewicza?,"Bo gdzie się serca palą,
Cyrklem uniesień duch,
Dobro powszechne skalą,
Jedność większa od dwóch."
0,"Czym mierzyć wartość, skoro waga i miara?","Do umarłych wyznacz bryły, nie oceniaj zamiarów według siły."
0,Czy duchy młodzieńca znalazły odpoczynek w niebie?,"Oh, wiele serca poszło na marne,
Rozrzutnik młody, przepychu miłośnik.
Lecz znalazłem błogosławieństwo w niebie,
Tam dusze odszukają swój spokój w końcu."
0,Čionai kaldavo graikas atenišką dabą?,"Italas mongolams geleżis atmėtė,
A mekkietis namazą būdavo nyniuoja."
0,"Matko, czemuż nie wstałam zrana?","Nie masz cię, nie masz, kochana Marylo, któż mię obudzi?"
0,"Kim był ten zuchwały, co zrobił w Tukaju?","Djabeł był tym zuchwałym, co w Tukaju zrobił hałas."
0,W jaki sposób bawiłeś się w księgach greckich i rzymskich?,"Tam w księgach greckich, rzymskich steki wsiadłeś, nie po to, byś gniał; Lecz byś jak Grek bawił się, A jak Rzymianin bił."
0,"Czegoś stanął, mój kochanku?","Zimna rosa mię spłukała,
Zimno wieje wiatr poranku,
Okryj płaszczem, bo drżę cała."
0,"Kim jesteś, podróżniku, w tym późnym czasie?","Jestem Adam Mickiewicz, poetą polskim sławnym, który mówi wierszem."
0,Czym dawniej kochał? Ciekawość jałowa!,"Czy kochać mogę? Dowiodę:
Porzuć lokaja, kotko pokojowa,
Pójdź w wieczór na mą gospodę..."
0,"Jakie są trzy drogi, które prowadzą do zguby?","Niewiedza, chciwość i strach, takie są trzy.
Kto im ulegnie, ten straci się wciąż.
Kto wytrwał w próbie i nie dał się zwieść,
Temu można ufać, niezawodnie, jak samemu sobie."
0,Jaki masz tam ćwiek ze stali?,"To krzyżyk, co matka dała.
Ten krzyżyk ostry jak strzała,
Twarz mi rani, skronie pali.
Precz mi z tym ćwiekiem ze stali!"
0,"Kto metal kwasi, pali, Skwasi metal i czas: My ze złotych metali Bacha ciągnijmy kwas.","Ja, Adam Mickiewicz, wam odpowiadam: To my, Polacy, z żelaza i miedzi, Przez ogień i czas nasza moc wzrasta, Odkrywamy nowe tajemnice metali."
0,"Czy zginąłeś w bitwie, czy daleko wojujesz? Czy przepadłeś na polach walki, czy dalej jadąc z Księciem?","Nie zginąłem w bitwie, wciąż na polach wojuję. Dalej jadę z Księciem, młode lata marnuję."
0,Dlaczego Adam Mickiewicz zamknął powieki?,"W pożegnaniu ze światem, na wieki, tak na domowników ręku. Tukaj, pośród skarg i jęku, gasnące zamknął powieki."
0,"Co się dzieje, gdy atakują nas sekli i sekliausi?","Wtedy wielkie żądze wiatrów wzburzają się,
I szumem fal na brzegi rykliwie wpadają,
Podbierając suchą lądową miano,
Znowu koraliki, muszle i perły nad brzegi przenoszą."
0,Co robił tygrys?,"Król skinął znowu, wylatał wśród lasu, spoza kraty spozierał na lwa, językiem wywalał i ogonem ciskał. Przebiegał dookoła i wzrok jaszczurczy topił, wyjął i burczał, na stronie przylegał."
0,"Czy pozwolisz mi jeszcze raz na ciebie spojrzeć, przed snem, O Adamie Mickiewiczu?","Oto na pożegnanie, twe oczy obracam, Twą zapiętą pierś chciałbym ucałować, Dobranoc!"
0,Co się stało w zamkowym dworze? Czego panna słuchała?,"Ucichł dwór, północ bije na zegarze. Panna słyszy podkowy dźwięk. Brytan zawył, oniemiał - głos utracił."
0,"Kto słucha, gdy opiewam wdzięki, dom pyta, czytają stryjowie?","Mamunia skorom do serca wzdycha, słucha córeczki, cały dom pyta."
0,"Co to za smętarz, mój miły?","To mur, co mych zamków strzeże. A te krzyże, te mogiły? To nie krzyże, to są wieże. Mur przeskoczym, przejdziem progi, Tu na wieki koniec drogi."
0,Kto w bieli na pościeli usiadł w przysionkach długich?,"To jeździec, co dolne podwoje skrzypiące otwierał w drzwiach troje."
