Book,Text
Adomas Mickevičius  Krymo sonetai Ajudagas tłum. Motiejus Gustaitis,"Adomas Mickevičius

Krymo sonetai
Ajudagas
tłum. Motiejus Gustaitis



Mėgstu ant Ajudago rymodams matyti,
Kaip putojančios bangos verpetais puškuoja,
Bei sidabro vainikais juosia marių srytį,
Ir tarsi vaivorykštės aplinkui ratuoja,

Atsimuša į seklių, sekliaus išblaškyti,
Lyg didžiažuvių būriai krantus atakuoja,
Paveldėtų sausumą, tečiaus nuvaryti,
Vėl kiaukerus, koralus ir perlus tebšluoja.

Jaunasis dainiau! Lygiai ir tavo širdyje
Kensmas dažnai sujudin vėsulas grumzdingas,
Bet sveikamjam pakėlus bard’ną įkvėpimo,

Anas be blėdies žūva gelmėj užmiršimo,
Ir už save palieka giesmes nemirtingas,
Tavo garbei vainiką nupint ateityje.




"
Adam Mickiewicz  Do D. D.,"Adam Mickiewicz

Do D. D.



Elegia

  Gdybyś ty na dzień jeden była w mojej duszy…
Na dzień cały? Nie — takiej nie życzę katuszy.
Gdyby godzinę tylko… szczęśliwe stworzenie,
Poznałabyś natenczas, co to jest cierpienie!
Myśli me na torturach, w uczuciach mych burza:
To mi gniew serce miota i czoło zachmurza,
To mię smutek w ponure zadumanie wtrąca,
To nagle oczy zaćmi żalu łza gorąca.
Ty albo od mych gniewów uciekasz ze wstrętem,
Albo lękasz się nudy z żałośnym natrętem.

  Ty mię nie znasz, namiętność zaćmiła me lice:
Ale spojrzyj w głąb duszy! Tam znajdziesz skarbnice
Czułości, poświęcenia, łagodnej dobroci
I wyobraźni, która ziemską dolę złoci.
Dziś ich nie możesz dojrzeć. — Wszak i na dnie fali,
Kiedy ją wicher zmięsza, kiedy piorun pali:
Czyż widać kraśne konchy, perłowe jagody?
Nim mię osądzisz, czekaj słońca i pogody!
O, gdybym zyskał pewność, że jestem kochany,
Gdybym z serca na chwilę wygnał bojaźń zmiany,
Którą mię straszy nieraz doświadczana zdrada!
O, niech będę szczęśliwym, będziesz ze mnie rada!

  Jak duch, przez dzielnej wróżki zaklęty wyrazy,
Żyłbym twoje wypełniać, zgadywać rozkazy;
A jeżeliby czasem duma rozdąsana
Kazała poddanemu udać humor pana:
Śmiej się luba! Choć duma przyznać się zabrania,
Sługą będę; cóż miałbym do rozkazywania?
Abyś raczyła chwilą dłużej ze mną bawić,
Podług mej woli suknię i włosy poprawić;
Abyś drobnych zatrudnień odbiegła domowych
Słuchać starych oświadczeń i piosenek nowych:
Wszystko byś niewielkimi dokazała trudy,
Godziną cierpliwości, półgodziną nudy,
Albo chwilką udania. Kiedy będę mniemać,
Że słuchasz rymów moich, ty mogłabyś drzemać;
Choć oczy twoje będą co innego znaczyć,
Ja chcę w nich dobro czytać, na lepsze tłumaczyć.
W twe ręce powierzywszy moją przyszłą dolę,
Na twym złożyłbym łonie mój rozum i wolę.
Pamiątki nawet serce głęboko zagrzebie,
Aby nigdy nic nie czuć oddzielnie od ciebie.
Wtenczas by dziki zapęd, co mną dotąd miota,
Wypadł z duszy, jak z łodzi miotanej niecnota,
Który burze sprowadza i bałwany pieni.
Płynęlibyśmy cicho po życia przestrzeni,
Chociażby los groźnymi falami powiewał,
Jak syrena bym nad nie wzbijał się i śpiewał.




"
Adam Mickiewicz  Zaloty,"Adam Mickiewicz

Zaloty



Póki córeczki opiewałem wdzięki:
Mamunia słucha, stryj czyta;
Lecz skorom westchnął do serca i ręki:
Ja słucham, cały dom pyta.

Mama o wioskach i o duszach gada,
Pan stryj o rangach, dochodach;
A pokojowa służącego bada,
O mych w kochaniu przygodach.

Mamo, stryjaszku! Jednę tylko duszę
I na Parnasie mam włości;
Dochodów piórem dorabiać się muszę,
A ranga u potomności!…

Czym dawniej kochał? Ciekawość jałowa!
Czy kochać mogę? Dowiodę:
Porzuć lokaja, kotko pokojowa,
Pójdź w wieczór na mą gospodę…




"
Mickiewicz Adam  Ballady i romanse Tukaj albo próby przyjaźni Ballada,"Mickiewicz Adam

Ballady i romanse
Tukaj albo próby przyjaźni
Ballada



(we czterech częściach)




I

    «Ja umieram. — Ja nie płaczę,
I wy chciejcie ulżyć sobie;
Prędzej, później legniem w grobie.
Nie wrócą na świat rozpacze.
Byłem panem mnogich włości,
Sławny potęgą i zbiorem;
Zamki me stały otworem
Dla przyjaciół i dla gości.
O potęgo! o człowieku!
Wielkie zamki, wielkie imie,
Wielkie nic! Wielkość, czczy dymie!
Ja umieram w kwiecie wieku!
Gdy za mądrości widziadłem
Goniąc, zbiegam kraje cudze,
Gdy wzrok nad księgami trudzę,
Skarbnice nauk posiadłem:
O nauki! o człowieku!
Wielka mądrość, wielkie imie,
Wielkie nic! rozum, czczy dymie!
Ja umieram w kwiecie wieku!
Strzegłem ustaw świętej wiary
W duchu i serca prostocie;
Hojnie nagradzałem cnocie,
Kościołom niosłem ofiary.
O pobożności! człowieku!
Święta wiaro, święte imie,
Święte nic! cnoto, czczy dymie!
Ja umieram w kwiecie wieku!
Twórco, jakże igrasz srodze!
Kiedy mi dasz wiek niedługi,
Cóż, że mi dasz wierne sługi?
Czymże za wierność nagrodzę?
Dasz kochankę kochankowi,
Śmierć truje ślubów słodycze.
I tylu przyjaciół liczę!
Bądźcie zdrowi, bądźcie zdrowi!»

    Tak na domowników ręku
Tukaj, pośród skarg i jęku,
Pożegnawszy świat na wieki,
Gasnące zamknął powieki.

    Wtem grom łamie szczyty dachu,
Zadrżały zamkowe ściany,
Jakowyś starzec nieznany
Wlatuje na środek gmachu.
Siwy włos okrył mu skronie,
Twarz marszczkami rozorana,
Broda długa za kolana,
Na kosturze wsparte dłonie.
«Tukaju!» Porwał z pościeli
I wraz za sobą iść każe;
Już wierzchne sale minęli,
Minęli wały i straże.
Idą — ciemno, deszczyk kropi;
A srebrzysta twarz miesiąca,
To grubawe mgły roztrąca,
To się znowu we mgle topi.
Idą ponad trzęskie kępy,
Mijają bagna, głębinie,
Hnilicy ciemnej ostępy,
Kołdyczewanurty sinie.
Gdzie puszcza zarosła wkoło,
Spodem czarna, z wierzchu płowa,
Żwirami nasute czoło
wynosi góra Żarnowa,
Tam szli. Starzec kląkł na grobie,
Rozwarł usta, okiem błysnął,
Podniósł w górę ręce obie,
Trzykroć krzyknął, trzykroć świsnął.
«Tukaju, patrz, oto ścieżka!
Za ścieżką chatka na bagnie,
W chatce mędrzec Polel mieszka:
Mędrzec mędrca wspomóc pragnie.
Znana twa nauka, cnota;
Znam, że Bóg, węzły lubemi
Przywiązawszy cię do ziemi,
Długiego nie da żywota.
Ale rzucaj przestrach płony,
Mych sposobów uznaj dzielność;
Żyj dla sług, przyjaciół, żony,
Lata, wieki, nieśmiertelność.
Ja pierwszy ziemskiemu oku
Śmiem do niej pokazać drogę;
Lecz podług ustaw wyroku
Dwom tylko pokazać mogę.
Wybierz drugiego człowieka,
Człowieka doznanej wiary,
Któremu byś w każdej probie
Tak zaufał, jak sam sobie;
Trafisz — nieśmiertelność czeka!
Chybisz — śmierć i wieczne kary!»
— «Starcze! twe zjawienie wieszcze
Ciemna zasłona powleka,
Powiedz…» — «Powiadam ci jeszcze,
Wybierz drugiego człowieka.
Radź się twej głowy i serca,
Idzie o ciało i duszę!
Wierny albo przeniewierca,
Nieśmiertelność lub katusze!…
Czy mógłbyś zwierzyć się słudze?»

    Tukaj nic nie odpowiada,
Bo któż zgadnie myśli cudze?
Bo zbyt częsta w sługach zdrada.
«Może kochance lub żonie?»
— «Tak…» wtem uciął, patrzy smutnie;
«Tak» rzecze i znowu utnie.
Myśli, sam się z sobą biedzi,
«Tak jest, kochance… tak, żonie!»
I wierzy, i strach nań pada,
I wątpi, i wstydem płonie;
Myśli, sam się z sobą biedzi,
Umyślił, już w odpowiedzi,
Już… i nic nie odpowiada.
— «Umrzyj więc! ty śmiałeś żądać?
Daj pokój żądaniom dzikim!
Ty nie masz ufności w nikim.
Wartoż dłużej świat oglądać?»
On myśli… — «Nikogoż z wiela?
Sługi, żony, przyjaciela?»
— On myśli… Tu w mgnieniu oka
Czerni się niebios sklepienie,
Słychać grzmienie, ziemi drżenie,
Kipią bagna, lasy gorą,
Niknie w płomieniach opoka,
I doliny, i jezioro.
Śród gromów, świstu i szczęku,
Czy to zły duch, czy moc Boża,
Tukaj znalazł się śród łoża,
Na swych domowników ręku.
Głos tylko zagrzmiał z daleka:
«Nie masz drugiego człowieka,
Któremu byś w każdej probie
Tak zaufał, jak sam sobie».




II

    «Ja mam, ja mam przyjaciela!»
Konający Tukaj woła.
Wraz uchodzi bladość z czoła,
Iskrą zdrowia oko strzela;
Tukaj wydarty mogile,
Wstaje, dziwią się doktory;
Wstaje, chodzi o swej sile,
Jakby nigdy nie był chory.
A wtem, na poduszce z boku,
Ujrzy z wolej skóry karty,
Gdzie tajemnice wyroku
Przeklęte spisały czarty.
Tukaj z ciekawością chwyta,
Siada, podparł się, i czyta:

    «Kiedy miesiąc na młodziku,
Idź za górę do gaiku,
Znajdziesz kamień, spod kamienia
Białego urwij korzenia,
Kiedy będziesz bliski śmierci,
Każ ciało posiec na ćwierci,
W wodzie zgotować korzonki,
Pocięte namaścić członki:
Znowu się duch z ciałem zrośnie,
W młodocianej wstaniesz wiośnie,
I możesz, skutkiem tych leków,
Umierać, wstawać, wiek wieków».

    Dalej tam były przestrogi:
Jak siekać głowę, jak nogi,
W jakiej wodzie smażyć trunek,
Po jakiej brać zioła szczypcie;
Ale na końcu w post-skrypcie,
Taki dodano warunek:

    «Jeśli użyty ktoś drugi
Do namaszczalnej posługi,
Zwiedzion przez nasze fortele,
Innemu pokaże ziele
Lub w oznaczonej godzinie
Twego ciała nie namaści:
Wtenczas skutek zioła zginie,
Wtenczas piekło czeka waści.
Jeśli na to się ośmielisz,
Dla znaku, że zaszła zgoda,
Nasz poseł Mefistofelisz
Do wymiany traktat poda.
Ostrzegliśmy o fortelach,
Strzeż się; potem próżny kweres.
Dan w Erebie, w szabas rano;
Własną ręką podpisano:
Tak ma stać się: Lucyferes,
A za zgodność: Hadramelach».

    Tukaj trochę się zagniewał,
Warunku się nie spodziewał.
Brodę na ręku podpiera,
Potarł czoło, skrzywił nosa,
Na kontrakt spojrzał z ukosa:
Tabaczki dwa razy zażył,
To na ziemię spuszcza oczy,
To po stolowaniu toczy.
Wziął pargamin, w ręku zważył;
Znowu nań zezem poziera,
Znowu czytał i odczytał,
Znowu zważył, znowu zmierzył,
Kułakiem o stół uderzył,
Westchnął, mruczał, zębem zgrzytał,
Ręce nad czoło zakłada,
Skoczył raptem i w zapędzie
Machnął ręką: «Niech tak będzie!»
Znowu umilkł, znowu siada,
Znowu myśli, znowu wstaje,
Znowu chodzi, znowu siada.
Niech go za to nikt nie łaje,
Bo z diabłami rzecz nie lada.

    Myśli: albo wieczne życie,
Albo wiecznie diabłu dusza.
Nic nie mówi, myśli skrycie,
Tylko trochę wargą rusza.

    Nadszedł już czas odpowiedzi.
Tukaj oddala się z tłumu
I do pracowni rozumu
Zamknąwszy się, jeden siedzi.
I tam swój traktat raz jeszcze,
Nim stempel przyjęcia zyska,
W surowej uwagi kleszcze
Bierze i porządnie ściska.
Tam myśl rozmaita ścieka
W jedne podobieństwa tygle;
Tam jednę myśl niedościgle
Różnicy nożykiem sieka;
Sieka, topi na kształt wosku,
Aż wycisnął ekstrakt wniosku.
Obejrzawszy wniosek ściśle,
Tak rzekł po długim namyśle:
«Jakieżkolwiek to fortele,
O których słyszałem z góry,
Czy ich niewiele, czy wiele,
Trojakiej będą natury.
Chcąc kogo przywieść do zdrady,
Trzeba siły albo rady;
Albo podarunkiem skusić,
Albo strwożyć, albo zmusić.
Toż samo krótszymi słowy,
Będzie sylogizm takowy:
Trojaka do zguby droga,
Ciekawość, łakomstwo, trwoga.
Więc kto w tym trojakim względzie
Twardej nie ulegnie probie,
Takiemu już można będzie
Ufać jak samemu sobie».

    Tukaj, kontent z wynalazku,
Szuka atramentu, piasku,
Idzie kreślić pismo grzechu,
Ale idzie bez pośpiechu.
Już ciemno, pisać niewcześnie,
W atramencie jakieś pleśnie;
Dwie świece musiał zapalać
I dwa kałamarze nalać.
Coś mu zabolało w łokciu;
Wziął pióro — na piórze włosek
I bardzo spisany nosek;
Otrząsł, przyciął na paznokciu.
Po długim względzie, rozględzie,
Wreszcie pisze: *NIECH TAK BĘDZIE*.
Chciał dołożyć i nazwisko:
Lecz nim pierwsze *T* napisał,
Myślał pół godziny blisko,
Głową i piórem kołysał,
I nic więcej nie napisał;
Tylko do pierwszej litery,
Dodał małe kropki…. cztery.

    Gdy już napisano widzi,
Jeszcze patrzy, jeszcze bada;
Niechaj z tego nikt nie szydzi,
Bo z diabłami rzecz nie lada.
    Lecz jakże się musiał zdumieć,
Gdy głoska «B» w słowie *BĘDZIE*,
Zaczęła brzęczeć i szumieć,
I wzdymać wszystkie krawędzie.
Kręci się, beczy, podrasta
Jak na drożdżach kawał ciasta;
Dolna litery połowa
Wykurcza się w brzuch i żebra,
U zwierzchniej wypukła głowa,
Na kształt ogromnego cebra.
Szyjka jak u osy wąska,
Nosik orła, bródka kozła,
A z jednej go strony końska,
Z drugiej kurza łapka wiozła;
Pogląda okiem wołowem,
Skrzydła na kształt młyńskich wioseł…
Był to diabeł jednym słowem,
Był to Miefistofel poseł.

    Jeszcze Tukaj nie mógł wiedzieć,
Czy żegnać, czy prosić siedzieć,
Kiedy przyskoczył zuchwalec,
Porwał za maleńki palec,
Zasadził nożyk pod skórką,
I umoczył we krwi piórko;
Piórko wścibił, ścisnął w ręku,
Ręką wodzi pomaleńku,
Gdy już *U*, *K*, *A*, *J* minął,
Zrobiło się całkiem *TUKAJ*.
Djabeł świsnął, czmychnął, zginął…
Terazże z nim ładu szukaj!




"
Adam Mickiewicz  Pieśń filaretów,"Adam Mickiewicz

Pieśń filaretów



  Hej użyjmy żywota!
Wszak żyjem tylko raz:
Niechaj ta czara złota,
Nie próżno wabi nas.

  Hejże do niej wesoło!
Niechaj obiega w koło;
Chwytaj i do dna chyl
Zwiastunkę złotych chwil!

  Po co tu obce mowy?
Polski pijemy miód:
Lepszy śpiew narodowy,
I lepszy bratni ród.

  W ksiąg greckich, rzymskich steki
Wlazłeś, nie żebyś gnił;
Byś bawił się jak Greki,
A jak Rzymianin bił.

  Ot tam siedzą prawnicy,
I dla nich puchar staw:
Dzisiaj trzeba prawicy,
A jutro trzeba praw.

  Wymowa wznieść nie zdoła
Dziś na wolności szczyt,
Gdzie przyjaźń, miłość woła,
Tam bracia cyt, tam cyt!

  Kto metal kwasi, pali,
Skwasi metal i czas:
My ze złotych metali
Bacha ciągnijmy kwas.

  Ten się śród mędrców liczy,
Zna chemiją, ma gust,
Kto pierwiastek słodyczy
Z lubych wyciągnął ust.

  Mierzący świata drogi,
Gwiazdy i nieba strop,
Archimedbył ubogi,
Nie miał gdzie oprzeć stop.

  Dziś gdy chce ruszać światy
Jego Newtońska Mość,
Niechaj policzy braty
I niechaj powie: dość.

  Cyrkla, wagi i miary
Do martwych użyj brył:
Mierz siłę na zamiary,
Nie zamiar podług sił!

  Bo gdzie się serca palą,
Cyrklem uniesień duch,
Dobro powszechne skalą,
Jedność większa od dwóch.

  Hej, użyjmy żywota!
Wszak żyjem tylko raz;
Tu stoi czara złota,
A wnet przeminie czas.

  Krew stygnie, włos się bieli,
W wieczności wpadniem toń;
To oko zamknie Feli,
To Filarecka dłoń.




"
Adam Mickiewicz  Sonety odeskie Sonet XVI. Dobranoc,"Adam Mickiewicz

Sonety odeskie
Sonet XVI. Dobranoc



Dobranoc! już dziś więcej nie będziem bawili,
Niech snu anioł modrymi skrzydły cię otoczy,
Dobranoc, niech odpoczną po łzach twoje oczy,
Dobranoc, niech się serce pokojem zasili.

Dobranoc, z każdej ze mną przemówionej chwili,
Niech zostanie dźwięk jakiś cichy i uroczy,
Niechaj gra w twoim uchu, a gdy myśl zamroczy,
Niech się mój obraz sennym źrenicom przymili.

Dobranoc, obróć jeszcze raz na mnie oczęta,
Pozwól lica — Dobranoc! — chcesz na sługi klasnąć?
Daj mi pierś ucałować — Dobranoc, zapięta.

— Dobranoc, już uciekłaś i drzwi chcesz zatrzasnąć.
Dobranoc ci przez klamkę, — niestety! zamknięta!
Powtarzając: dobranoc! nie dałbym ci zasnąć.




"
Adam Mickiewicz  Kochanek duchów,"Adam Mickiewicz

Kochanek duchów



Kochanek duchów, ileż was spotkałem,
Ileż to oczu jak gwiazd przeleciało,
Ileż to rączek, tonąc, uściskałem:
A serce nigdy z sercem nie gadało!
Wydałem wiele serca, jak ze skrzyni
Młody rozrzutnik; lecz dłużnicy moi
Nic nie oddali. Któż dzisiaj obwini,
Że się rozrzutnik spostrzegł, że się boi
Zwierzać w niepewne i nieznane ręce?
Żegnam was, żegnam nadobne dziewice;
Żegnam was, żegnam, o duchy, młodzieńce!
Rozrzutnik młody, resztę skarbu schwycę,
W ziemię zakopię; nie czas reszty tracić.
Już czuję starość: mam żebrać w potrzebie?
Znalazłem tego, co zdoła zapłacić
Rzetelnie, z lichwą i na czas — On w niebie.




"
Adomas Mickevičius  Krymo sonetai Balaklavos pilies griuvėsiai tłum. Motiejus Gustaitis,"Adomas Mickevičius

Krymo sonetai
Balaklavos pilies griuvėsiai
tłum. Motiejus Gustaitis



Šitie mūrai, sulūžę į grioves pakriaušes,
Puošė tave ir gynė, Kryme nedėkingas!
Dabar kiurkso ant kalnų lyg didžiulės kiaušės ;
Juose kirminas bręsta bei žmogus nuodingas.

Lipkime ant bokštelio. Štai spokso išaušęs
Raštas ant erbo; vardas gal rykio grausmingas,
Kurs baugino kariją, nūnai pasišiaušęs,
Vynlapiu apsigaubęs lyg vabzdys niekingas.

Čionai kaldavo graikas atenišką dabą.
Čia italas mongolams geležis atmėtė,
Ir mekkietisnamazą būdavo nyniuoja.

Šiandien kovai joudsparniai skrieja apie grabą,
Lyg pilyj, kurią maras visiškai išvėtė,
Vėluvos gedulingos bokštuos plevėsuoja.




"
Adam Mickiewicz  Kurhanek Maryli,"Adam Mickiewicz

Kurhanek Maryli



(myśl ze śpiewu litewskiego)

    *Cudzy człowiek*
  Tam u Niemnowej odnogi,
Tam u zielonej rozłogi,
Co to za piękny kurhanek?
Spodem uwieńczon jak w wianek,
W maliny, ciernie i głogi;
Boki ma strojne murawą,
Głowę ukwieconą w kwiaty,
A na niej czeremchy drzewo,
A od niej idą trzy drogi:
Jedna droga na prawo,
Druga droga do chaty,
Trzecia droga na lewo.
Ja tędy płynę z wiciną,
Pytam się ciebie dziewczyno,
Co to za piękny kurhanek?

    *Dziewczyna*
  W całej wsi pytaj się, bracie,
A cała wieś powie tobie:
Maryla żyła w tej chacie,
A teraz leży w tym grobie.
Na prawej stronie te śladki
Ubite nogą pastuszka;
To jest drożyna jej matki,
A stąd przychodzi jej drużka.
Lecz oto błysnął poranek,
Przyjdą oni na kurhanek;
Ukryj się tu za stos łomu,
Sam ich posłuchasz niedoli,
Własne twe oczy zobaczą.
Patrz w prawo… idzie kochanek.
Patrz, matka idzie z domu,
Patrz w lewo, przyjaciółka.
Wszyscy idą powoli,
I niosą ziółka,
I płaczą.

    *Kochanek*
  Marylo! o tej porze
Jeszcześmy się nie widzieli,
Jeszcześmy się nie ścisnęli.
Marylo! zaszło zorze!
Tu czeka twój kochanek:
Czy ty przespałaś ranek?
Czyś na mnie zagniewana?
Ach! Marylo kochana!
Gdzież się ty dotąd kryjesz?
Nie, nie przespałaś ranka,
Nie gniewasz się na Janka:
Lecz nie żyjesz, nie żyjesz!
Więzi cię ten kurhanek,
Nie ujrzysz już kochanka,
Nie ujrzy cię kochanek!
Dawniej, kiedy spać szedłem, tym słodziłem chwile,
Że skoro się obudzę, obaczę Marylę,
I dawniej spałem mile!
Teraz, tutaj spać będę, od ludzi daleki,
Może ją we śnie ujrzę, gdy zamknę powieki;
Może zamknę na wieki!
Byłem ja gospodarny, gdy byłem szczęśliwy;
Chwalili mnie sąsiedzi,
Chwalił mnie ojciec siwy:
Teraz się ojciec biedzi;
A ja ni ludziom, ni Bogu!
Niech ziarno w polu przepadnie,
Niech ginie siano ze stogu,
Niech sąsiad kopy rozkradnie,
Niech trzodę wyduszą wilki!
Nie masz, nie masz Marylki!
Daje mi ojciec chaty,
Daje mi sprzęt bogaty.
Bym wziął w dom gospodynię,
Namawiali mię swaty,
Nie masz, nie masz Maryli!
Swaty nie namówili:
Nie mogę, nie, nie mogę!
Wiem ojcze, co uczynię:
Pójdę w daleką drogę,
Więcej mnie nie znajdziecie,
Choćbyście i szukali.
Nie będę już na świecie,
Przystanę do Moskali,
Żeby mnie wraz zabili.
Nie masz, nie masz Maryli!

    *Matka*
  Czemuż nie wstałam zrana?
Już w polu pełno ludzi.
Nie masz cię, nie masz, kochana
Marylo, któż mię obudzi?
Płakałam przez noc całą,
Zasnęłam kiedy dniało.
Mój Szymon gdzieś już w polu,
Wyprzedził on świtania,
Nie budził mię, mojego litując się bólu,
Poszedł z kosą bez śniadania;
Koś ty dzień cały, koś sobie,
Ja tutaj leżę na grobie.
Czegóż mam iść do domu?
Kto nas na obiad zawoła?
Kto z nami siądzie do stoła?
Nie masz, ach! nie masz komu!
    Pókiśmy mieli ciebie,
W domu było jak w niebie.
U nas i wieczorynki,
Z całej wsi chłopcy, dziewki,
Najweselsze zażynki,
Najchuczniejsze dosiewki.
Nie masz cię! w domu pustynie!
Każdy kto idzie, minie.
Zawiasy rdzewieją w sieni,
Mchem się dziedziniec zieleni:
Bóg nas opuścił, ludzie opuścili,
Nie masz, nie masz Maryli!

    *Przyjaciółka*
  Tutaj bywało z ranku
Nad wodą sobie stoim,
Ja o twoim kochanku,
Ty mnie mówisz o moim.
Już więcej z sobą nie będziem mówili,
Nie masz, nie masz Maryli!
Któż mi zwierzy się szczerze,
Komuż się ja powierzę?
Ach, gdy z tobą, kochanie,
Smutku i szczęścia nie dzielę,
Smutek smutkiem zostanie,
Weselem nie jest wesele.
    Słyszy to cudzy człowiek,
Wzdycha i łzy mu płyną.
Westchnął, otarł łzy z powiek,
I dalej poszedł z wiciną.




"
Adam Mickiewicz  Ucieczka Ballada,"Adam Mickiewicz

Ucieczka
Ballada



    On wojuje — rok upłynął,
On nie wraca — może zginął.
Panno, szkoda młodych lat,
Od Książęcia jedzie swat.

    Książę ucztuje we dworze,
A Panna płacze w komorze.

    Jej źrenice, błyskawice,
Dziś jak dwie mętne krynice;
Jej lica, pełnia księżyca,
Dziś nikną jak księżyc w nowiu:
Biada wdziękom, biada zdrowiu.

    Matka troszczy się i biedzi,
Książę dał na zapowiedzi.

    Swadźba jedzie szumnie, tłumnie.
— «Nie powiozą do ołtarza,
Powiozą mię do smętarza,
A pościelą chyba w trumnie.
Ja umrę, gdy on nie żyje,
Ciebie, matko, żal zabije!»

    Ksiądz w konfesjonale siedzi,
Czas, o córko, do spowiedzi.

    Przyszła kuma, widma stara:
«Wypędź księdza, wypędź klechę,
Bóg i wiara, sen i mara,
Kuma w biedzie ma pociechę,
Kuma stara umie wiele,
Ma kwiat paproć i car-ziele,
A ty masz kochanka dary,
Przyszłam zrobić możne czary.

    Włosy jego w węża splącz,
Dwie obrączki razem złącz,
Z lewej ręki krwi usącz;
A na węża będziem kląć,
W dwie obrączki będziem dąć;
Musi przyjść i ciebie wziąć».

    Panna grzeszy — jeździec śpieszy,
Klęto ducha — klątwy słucha;
Już odemknął zimny gmach:
Panno, Panno, czy nie strach?

    Ucichł, usnął dwór zamkowy;
Panna czuwa. — Na zegarze
Bije północ — milczą straże,
Panna słyszy dźwięk podkowy,
Brytan, jakby głosu nie miał,
Zawył z cicha i oniemiał.

    Skrzypnęły dolne podwoje,
Stąpa ktoś w przysionkach długich,
I otwiera się drzwi troje,
Troje drzwi jedne po drugich.
Wchodzi jeździec cały w bieli
I usiada na pościeli.

    Słodko, prędko czas ucieka,
Wtem koń zarżał, jękła sowa,
Zegar wybił. — «Bywaj zdrowa!
Koń mój zarżał, koń mój czeka;
Albo wstawaj, na koń siądź
I na wieki moją bądź».

    Miesiąc świeci — jeździec leci
Po zaroślach i po krzach:
Panno, Panno, czy nie strach?

    Rumak polem jak wiatr niesie,
Niesie lasem — głucho w lesie;
Tu i owdzie wystraszona
W suchej jodle kracze wrona.
Po łozach wilcze źrenice
Migają się jako świéce.

    «W cwał, mój koniu, koniu, w cwał!
Miesiąc na dół schodzi z chmur,
A nim zejdzie miesiąc z chmur,
Mamy sadzić dziesięć skał,
Dziesięć rzek i dziewięć gór;
Za godzinę pieje kur».

    — «Gdzie mnie wieziesz?» — «Gdzie? do domu.
Dom mój na górze Mendoga;
W dzień otwarta wszystkim droga,
W nocy jeździm po kryjomu».
— «Czy masz zamek?» — «Tak jest, zamek,
I zamczysty, choć bez klamek».

    — «Mój kochanku, konia wstrzymaj,
Ledwie dosiedzę na łęku».
— «Moja luba, siodła imaj
Prawą ręką — co masz w ręku?
Czy to worek do roboty?» —
«Nie, to jest Ołtarzyk Złoty».

    — «Nie czas wstrzymać, pogoń bieży,
Słyszysz pogoń, tętnią błonia;
Już przed koniem przepaść leży,
Rzucaj książkę! puszczam konia».

    Koń jak gdyby zbył ciężaru,
Przemknął dziesięć sążni jaru.

    Lecą bagnem przez manowiec,
Pusto wkoło. Błędny ognik
Tuż przed nimi, jak przewodnik,
Od grobowca na grobowiec
Przelatuje; gdzie przeleci,
Ślad błękitny za nim świeci,
A tym śladem jeździec leci.

    — «Mój kochanku, co za droga?
Tu nie znać śladu człowieka».
— Dobra droga, kiedy trwoga;
Krzywo jedzie, kto ucieka.
Śladów nie masz do mych włości,
Bo nie wpuszczam pieszych gości:
Bogatego wiozą cugi,
Ubogiego niosą sługi.

    W cwał, mój koniu, koniu, w cwał!
Błyska zorza z wschodnich stron,
Za godzinę bije dzwon.
Nim uderzy ranny dzwon,
Mamy sadzić parę skał,
Parę rzek i parę gór:
Za godzinę drugi kur».

    — «Mój kochanku, wstrzymaj wodze!
Koń się lęka, bokiem sadzi,
Pełno skał i drzew na drodze,
Koń o drzewo mię zawadzi». —
— «Moja luba, jakie sznurki,
Jakie wiszą tam kieszonki?»
— Mój kochanku, to paciórki,
To szkaplerze i koronki». —

    — «Sznur przeklęty! sznur znienacka
Rumakowi miga w oczy,
Patrz, jak zadrżał, bokiem skoczy.
Moja luba, rzuć te cacka!»

    Koń, jak gdyby pozbył trwogi,
Ubiegł prosto pięć mil drogi.

    «Co to za smętarz? mój miły?»
— «To mur, co mych zamków strzeże».
— «A te krzyże, te mogiły?»
— «To nie krzyże, to są wieże.
Mur przeskoczym, przejdziem progi,
Tu na wieki koniec drogi.

    Stój, mój koniu, koniu, stój!
Przebyłeś, nim zapiał kur,
Tyle rzek i skał, i gór,
A tuś zadrżał koniu mój?
Wiem ja, koniu, czego drżysz:
Mnie i tobie boli krzyż».

    — «Czegoś stanął, mój kochanku?
Zimna rosa mię spłukała,
Zimno wieje wiatr poranku,
Okryj płaszczem, bo drżę cała».

    — «Moja luba, przytul skronie,
Na twych piersiach głowę złożę.
Głowa moja ogniem płonie
I kamienie ogrzać może.

«Jaki masz tam ćwiek ze stali?»
— «To krzyżyk, co matka dała».
— «Ten krzyżyk ostry jak strzała,
Twarz mi rani, skronie pali.
Precz mi z tym ćwiekiem ze stali!»

    Krzyż na ziemię padł i zniknął,
Jeździec Pannę wpoły ścisnął,
Z oczu i z ust ogniem błysnął,
Rumak ludzkim śmiechem ryknął.
Przeskoczyli cwałem mury,
Biją dzwony, pieją kury.
Nim ksiądz przyszedł na mszę ranną,
Zniknął koń z jeźdzcem i Panną.

    Na smętarzu cisza była,
Stoją krzyże, głazy leżą:
Jedna bez krzyża mogiła
I ziemia ruszona świeżo.

    Ksiądz nad grobem długo stał
I mszę za dwie dusze miał.




"
